ofício,Schreiben
Rápido!,Beeil dich!
Depressa!,Beeile dich!
Vamos!,Beeile dich!
impressionante,beeindruckend
impor,beeindrucken
impressionar,beeindrucken
impressionado,beeindruckt
afetar,beeinflussen
influenciar,beeinflussen
influir,beeinflussen
manipular,beeinflussen
afetar,beeinträchtigen
estragar,beeinträchtigen
prejudicar,beeinträchtigen
restringir,beeinträchtigen
lesar,beeinträchtigen
afetado,beeinträchtigt
interferência,Beeinträchtigung
intromissão,Beeinträchtigung
Belzebu,Beelzebub
acabar,beenden
concluir,beenden
sair,beenden
terminar,beenden
encerrar,beenden
terminação,Beendigung
termo,Beendigung
enterrar,beerdigen
sepultar,beerdigen
enterrado,beerdigt
enterro,Beerdigung
funeral,Beerdigung
sepultamento,Beerdigung
baga,Beere
bago,Beere
canteiro,Beet
alegrete,Beet
trafegável,befahrbar
transitável,befahrbar
navegar,befahren
infestação,Befall
ataque,Befall
Befana,Befana
comandar,befehlen
mandar,befehlen
ordenar,befehlen
comandante,Befehlshaber
comando,Befehl
instrução,Befehl
ordem,Befehl
afixar,befestigen
estabilizar,befestigen
fincar,befestigen
fixar,befestigen
fortificar,befestigen
prender,befestigen
fixo,befestigt
fixação,Befestigung
molhar,befeuchten
umedecer,befeuchten
manchar,beflecken
sujar,beflecken
dedicado,beflissen
subserviente,beflissen
cumprir,befolgen
observância,Befolgung
cumprimento,Befolgung
consultar,befragen
entrevistar,befragen
interrogar,befragen
perguntar,befragen
inquérito,Befragung
alforriar,befreien
desafrontar,befreien
desembaraçar,befreien
desobrigar,befreien
dispensar,befreien
emancipar,befreien
eximir,befreien
franquear,befreien
isentar,befreien
liberar,befreien
libertar,befreien
livrar,befreien
salvar,befreien
libertador,Befreier
liberado,befreit
livre,befreit
solto,befreit
emancipado,befreit
alforria,Befreiung
alívio,Befreiung
desobrigação,Befreiung
dispensa,Befreiung
emancipação,Befreiung
imunidade,Befreiung
isenção,Befreiung
libertação,Befreiung
resgate,Befreiung
agradar,befriedigen
satisfazer,befriedigen
satisfação,Befriedigung
temporário,befristet
aprazamento,Befristung
prazo,Befristung
fertilizar,befruchten
atribuição,Befugnis
jurisdição,Befugnis
diagnóstico,Befund
capacitar,befähigen
competência,Befähigung
habilidade,Befähigung
proficiência,Befähigung
qualificação,Befähigung
talento,Befähigung
promover,befördern
transportar,befördern
promoção,Beförderung
transporte,Beförderung
preocupar,befürchten
medo,Befürchtung
receio,Befürchtung
apoiar,befürworten
pregador,Befürworter
propagador,Befürworter
proponente,Befürworter
dote,Begabung
habilidade,Begabung
aptidão,Begabung
dom,Begabung
talento,Begabung
cometido,begangen
cópula,Begattung
acasalamento,Begattung
negociável,begebbar
tratar,begegnen
encontro,Begegnung
cometer,begehen
cobiçar,begehren
desejar,begehren
deslumbrar,begeistern
extasiar,begeistern
empolgado,begeistert
encantado,begeistert
extático,begeistert
alvoroço,Begeisterung
ardor,Begeisterung
entusiasmo,Begeisterung
fervor,Begeisterung
anseio,Begierde
ansiedade,Begierde
desejo,Begierde
ânsia,Begierde
molhar,begießen
regar,begießen
começar,beginnen
encetar,beginnen
fazer,beginnen
iniciar,beginnen
principiar,beginnen
começo,Beginn
entrada,Beginn
início,Beginn
princípio,Beginn
autenticar,beglaubigen
certificar,beglaubigen
autenticado,beglaubigt
certificado,beglaubigt
autenticação,Beglaubigung
certificado,Beglaubigung
saldar,begleichen
liquidação,Begleichung
acompanhar,begleiten
escoltar,begleiten
acompanhante,Begleiterin
acompanhante,Begleiter
companheiro,Begleiter
acompanhado,begleitet
acompanhamento,Begleitung
acompanhamento,Begleitung
congratular,beglückwünschen
felicitar,beglückwünschen
parabenizar,beglückwünschen
dotado,begnadet
jazer,begraben sein
soterrar,begraben
abandonar,begraben
esquecer,begraben
enterrar,begraben
sepultar,begraben
abranger,begreifen
apreender,begreifen
compreender,begreifen
conceber,begreifen
entender,begreifen
perceber,begreifen
balizar,begrenzen
circunscrever,begrenzen
coibir,begrenzen
confinar,begrenzen
delimitar,begrenzen
demarcar,begrenzen
limitar,begrenzen
reduzir,begrenzen
restringir,begrenzen
limitado,begrenzt
circuito,Begrenzung
circunscrição,Begrenzung
demarcação,Begrenzung
limitação,Begrenzung
limite,Begrenzung
termo,Begrenzung
conceitualizar,begrifflich denken
definição,Begriffsbestimmung
conceito,Begriff
termo,Begriff
estabelecer,begründen
fundar,begründen
justificar,begründen
justificado,begründet
justificativa,Begründung
razão,Begründung
cumprimentar,begrüßen
saudar,begrüßen
acolhimento,Begrüßung
cumprimento,Begrüßung
saudação,Begrüßung
estimular,begünstigen
fomentar,begünstigen
potencializar,begünstigen
propiciar,begünstigen
encobrir,begünstigen
patrocinar,begünstigen
beneficiar,begünstigen
favorecer,begünstigen
proteger,begünstigen
promover,begünstigen
favorecido,Begünstigter
preferência,Begünstigung
cabeludo,behaart
peludo,behaart
pele,Behaarung
pelugem,Behaarung
agradar,behagen
bem-estar,Behagen
aconchegado,behaglich
aconchegante,behaglich
aconchegantemente,behaglich
confortavelmente,behaglich
confortável,behaglich
manter,behalten
tratável,behandelbar
tratar,behandeln
tratado,behandelt
cuidado,Behandlung
esmero,Behandlung
manejo,Behandlung
manipulação,Behandlung
manuseio,Behandlung
medicação,Behandlung
terapia,Behandlung
tratamento,Behandlung
trato,Behandlung
insistir,beharren
perseverar,beharren
persistir,beharren
insistência,Beharren
perseverança,Beharren
persistência,Beharren
aferro,Beharrlichkeit
veemência,Beharrlichkeit
afirmar,behaupten
alegar,behaupten
asseverar,behaupten
afirmativa,Behauptung
afirmação,Behauptung
alegação,Behauptung
assertiva,Behauptung
asserção,Behauptung
behaviorismo,Behaviorismus
corrigir,beheben
remediar,beheben
natural,beheimatet
aquecido,beheizt
importunar,behelligen
incomodar,behelligen
hospedar,beherbergen
acomodação,Beherbergungsstätte
controlável,beherrschbar
controlar,beherrschen
dominar,beherrschen
dominante,beherrschend
predominante,beherrschend
atrapalhar,behindern
bloquear,behindern
impedir,behindern
obstruir,behindern
tolher,behindern
travar,behindern
aleijado,behindert
obstrução,Behinderung
deficiência,Behinderung
cauteloso,behutsam
circunspeção,Behutsamkeit
pachorrento,behäbig
copo,Behälter
depósito,Behälter
recipiente,Behälter
vaso,Behälter
autoridade,Behörde
entidade,Behörde
repartição,Behörde
oficial,behördlich
conservar,beibehalten
manter,beibehalten
conservação,Beibehaltung
manutenção,Beibehaltung
batel,Beiboot
bote,Beiboot
confessar,beichten
confissão,Beichte
ambos,beide
ambidestro,beidhändig
aplaudir,Beifall klatschen
aclamar,Beifall spenden
aplauso,Beifall
adicionar,beifügen
anexar,beifügen
juntar,beifügen
atributo,Beifügung
bege,beige
bege,beigefarben
adjunto,beigeordnet
bege,Beige
cumplicidade,Beihilfe
abono,Beihilfe
subsídio,Beihilfe
acompanhamento,Beilage
anexo,Beilage
juntar,beilegen
anexado,beiliegend
anexo,beiliegend
cutelo,Beil
machada,Beil
machadinha,Beil
machado,Beil
acidental,beiläufig
casualidade,Beiläufigkeit
comigo,bei mir
no,beim
aproximadamente,beinahe
galegoso,beinahe blond
quase,beinahe
compreender,beinhalten
conter,beinhalten
envolver,beinhalten
incluir,beinhalten
greva,Beinschiene
perna,Bein
beirão,Beirenser
Beirute,Beirut
aposto,Beisatz
coito,Beischlaf
presença,Beisein
apartar,beiseitelegen
assassinar,beiseiteschaffen
matar,beiseiteschaffen
enterrar,beisetzen
sepultar,beisetzen
enterro,Beisetzung
funeral,Beisetzung
inédito,beispiellos
frase-exemplo,Beispielsatz
caso,Beispiel
exemplo,Beispiel
modelo,Beispiel
paradigma,Beispiel
socorrer,beispringen
colaborar,beitragen
contribuir,beitragen
ajuda,Beitrag
contribuição,Beitrag
aderir,beitreten
entrar,beitreten
coeficiente,Beiwert
assistir,beiwohnen
decapar,beizen
cetraria,Beizjagd
falcoaria,Beizjagd
com,bei
em,bei
abocanhar,beißen
mastigar,beißen
morder,beißen
picar,beißen
idoso,bejahrt
afirmação,Bejahung
conhecido,bekannt
célebre,bekannt
famoso,bekannt
aviso,Bekanntgabe
fama,Bekanntheit
renome,Bekanntheit
ilustre,bekannt
notório,bekannt
conhecido,Bekanntschaft
familiaridade,Bekanntsein
renomado,bekannt
confessar,bekennen
confissão,Bekenntnis
gemer,beklagen
lamentar,beklagen
reclamar,beklagen
réu,Beklagter
aplaudir,beklatschen
vestuário,Bekleidung
opressivo,beklemmend
angustiado,beklemmt
agonia,Beklemmung
angústia,Beklemmung
ansiedade,Beklemmung
ânsia,Beklemmung
angústia,Beklommenheit
adquirir,bekommen
arranjar,bekommen
conseguir,bekommen
obter,bekommen
obtido,bekommen
receber,bekommen
confirmar,bekräftigen
corroborar,bekräftigen
reforçar,bekräftigen
coroar,bekränzen
engrinaldar,bekränzen
combater,bekämpfen
combate,Bekämpfung
afligir,bekümmern
angustiado,bekümmert
preocupado,bekümmert
carregar,beladen
assediar,belagern
cercar,belagern
sitiar,belagern
sítio,Belagerung
forro,Belag
fútil,belanglos
insignificância,Belanglosigkeit
insignificante,belanglos
trivial,belanglos
importância,Belang
interesse,Belang
Bielorrússia,Belarus
resiliência,Belastbarkeit
culpar,belasten
incriminar,belasten
hipotecar,belasten
carga,Belastung
desgaste,Belastung
débito,Belastung
encargo,Belastung
esforço,Belastung
hipoteca,Belastung
incriminação,Belastung
peso,Belastung
poluição,Belastung
pressão,Belastung
sobrecarga,Belastung
solicitação,Belastung
folhagem,Belaubung
agitado,belebt
animação,Belebtheit
vivacidade,Belebtheit
animado,belebt
vivificação,Belebung
comprovar,belegen
reservar,belegen
pessoal,Belegschaft
quadro,Belegschaft
comprovante,Beleg
comprovativo,Beleg
documento,Beleg
evidência,Beleg
recibo,Beleg
advertir,belehren
avisar,belehren
ensinar,belehren
esclarecer,belehren
informar,belehren
instruir,belehren
corpulento,beleibt
gordo,beleibt
obeso,beleibt
afrontar,beleidigen
ofensivo,beleidigend
injuriar,beleidigen
insultar,beleidigen
ofender,beleidigen
ultrajar,beleidigen
insultado,beleidigt
ofendido,beleidigt
afronta,Beleidigung
injúria,Beleidigung
insulto,Beleidigung
ofensa,Beleidigung
ultraje,Beleidigung
erudito,belesen
letrado,belesen
versado,belesen
alumiar,beleuchten
clarear,beleuchten
elucidar,beleuchten
esclarecer,beleuchten
examinar,beleuchten
iluminar,beleuchten
ilustrar,beleuchten
análise,Beleuchtung
exame,Beleuchtung
iluminação,Beleuchtung
luz,Beleuchtung
Bélgica,Belgien
belga,Belgierin
belga,Belgier
belga,belgisch
Belgrado,Belgrad
exposição,Belichtung
agradar,belieben
gostar,belieben
prazer,Belieben
arbitrário,beliebig
discricionário,beliebig
quaisquer,beliebige
facultativo,beliebig
arbitrariedade,Beliebigkeit
opcional,beliebig
qualquer,beliebig
benquisto,beliebt
considerado,beliebt
estimado,beliebt
querido,beliebt
abastecer,beliefern
fornecer,beliefern
prover,beliefern
Belize,Belize
acoar,bellen
ladrar,bellen
latir,bellen
gratificar,belohnen
premiar,belohnen
recompensar,belohnen
remunerar,belohnen
retribuir,belohnen
galardão,Belohnung
gratificação,Belohnung
paga,Belohnung
prêmio,Belohnung
recompensa,Belohnung
remuneração,Belohnung
retribuição,Belohnung
soldada,Belohnung
belonofóbico,Belonephobiker
divertido,belustigt
atazanar,belästigen
atrapalhar,belästigen
fornicar,belästigen
importunar,belästigen
incomodar,belästigen
perturbar,belästigen
assediar,belästigen
molestar,belästigen
incómodo,Belästigung
incômodo,Belästigung
maçada,Belästigung
pintar-se,bemalen
pintar,bemalen
tripulado,bemannt
constatar,bemerken
notar,bemerken
perceber,bemerken
notável,bemerkenswert
comentar,bemerken
observar,bemerken
enxergar,bemerken
reparar,bemerken
nota,Bemerkung
reparo,Bemerkung
dimensionamento,Bemessung
esforço,Bemühen
empenho,Bemühung
esforço,Bemühung
vigor,Bemühung
aviso,Benachrichtigung
prejudicar,benachteiligen
prejuízo,Benachteiligung
Benedito,Benedikt
atitude,Benehmen
comportamento,Benehmen
conduta,Benehmen
postura,Benehmen
invejar,beneiden
invejável,beneidenswert
denominar,benennen
apresentar,benennen
chamar,benennen
título,Benennung
humidificação,Benetzung
umidificação,Benetzung
moleque,Bengel
Benjamim,Benjamin
atordoado,benommen
bentónico,benthonisch
bentônico,benthonisch
bêntico,benthonisch
aplicar,benutzen
empregar,benutzen
usar,benutzen
utilizar,benutzen
usuário,Benutzer
utente,Benutzer
aproveitamento,Benutzung
emprego,Benutzung
uso,Benutzung
utilização,Benutzung
benzina,Benzin
gasolina,Benzin
requerer,benötigen
necessário,Benötigte
usar,benützen
utilizar,benützen
controlar,beobachten
monitorar,beobachten
notar,beobachten
observar,beobachten
ver,beobachten
vigiar,beobachten
observadora,Beobachterin
observador,Beobachter
observação,Beobachtung
observância,Beobachtung
reparo,Beobachtung
convocar,beordern
mijar,bepissen
amostragem,Beprobung
acessível,bequem
acomodado,bequem
comodista,bequem
confortavelmente,bequem
confortável,bequem
conveniente,bequem
cómodo,bequem
cômodo,bequem
fácil,bequem
indolente,bequem
conforto,Bequemlichkeit
conveniência,Bequemlichkeit
útil,bequem
aconselhar,beraten
debater,beraten
deliberar,beraten
discutir,beraten
assessora,Beraterin
assessor,Berater
conselheiro,Berater
consultor,Berater
orientador,Berater
perito,Berater
roubar,berauben
privado,beraubt
inebriante,berauschend
berbere,berberisch
calculável,berechenbar
cobrar,berechnen
contagem,Berechnung
cálculo,Berechnung
interesse,Berechnung
autorizar,berechtigen
justificado,berechtigt
autorizado,berechtigt
legitimidade,Berechtigung
discutir,bereden
eloquente,beredsam
eloqüente,beredsam
eloquente,beredt
eloqüente,beredt
enriquecer,bereichern
locupletar,bereichern
campo,Bereich
domínio,Bereich
esfera,Bereich
ramo,Bereich
sector,Bereich
setor,Bereich
zona,Bereich
âmbito,Bereich
área,Bereich
corrigir,bereinigen
esclarecer,bereinigen
cruzar,bereisen
percorrer,bereisen
viajar,bereisen
visitar,bereisen
disposto,bereit
cavalgar,bereiten
fazer,bereiten
preparar,bereiten
causar,bereiten
dar,bereiten
preparado,bereit
pronto,bereit
prontidão,Bereitschaft
já,bereits
abastecer,bereitstellen
aprontar,bereitstellen
dar,bereitstellen
fornecer,bereitstellen
ministrar,bereitstellen
preparar,bereitstellen
proporcionar,bereitstellen
disponibilização,Bereitstellung
preparação,Bereitstellung
descendo,bergab
piorando,bergab
bergamota,Bergamotte
mineiro,Bergarbeiter
minerador,Bergarbeiter
melhorando,bergauf
subindo,bergauf
mineração,Bergbau
salvar,bergen
chalé,Berghütte
montanhoso,bergig
tergo,Bergkamm
serra,Bergkette
serrana,Bergland
mineiro,Bergmann
mocó,Bergmeerschweinchen
avalanche,Bergrutsch
cumeada,Bergrücken
alpinismo,Bergsteigen
montanhismo,Bergsteigen
resgate,Bergung
encosta,Bergwand
mineiro,Bergwerksarbeiter
mina,Bergwerk
zebra-da-montanha,Bergzebra
zebra-das-montanhas,Bergzebra
montanha,Berg
monte,Berg
beribéri,Beriberi
contar,berichten
comunicar,berichten
informar,berichten
correspondente,Berichterstatterin
repórter,Berichterstatterin
correspondente,Berichterstatter
repórter,Berichterstatter
reportagem,Berichterstattung
ajustar,berichtigen
atualizar,berichtigen
consertar,berichtigen
corrigir,berichtigen
rectificar,berichtigen
retificar,berichtigen
correção,Berichtigung
reforma,Berichtigung
retificação,Berichtigung
boletim,Bericht
narrativa,Bericht
reportagem,Bericht
relatório,Bericht
berkélio,Berkelium
berquélio,Berkelium
berlinense,Berliner
berlinês,Berliner
berlinense,Berlinerin
berlinesa,Berlinerin
berlinense,Berliner
berlinês,Berliner
Berlim,Berlin
bermuda,Bermudashorts
são-bernardo,Bernhardiner
Bernardo,Bernhard
sucino,Bernstein
âmbar,Bernstein
Berna,Bern
rachar,bersten
profissional,beruflich
empregado,berufstätig
apelação,Berufung
pendor,Berufung
recurso,Berufung
jeito,Berufung
talento,Berufung
vocação,Berufung
profissão,Beruf
emprego,Beruf
ocupação,Beruf
acalmar,beruhigen
apaziguar,beruhigen
calmante,beruhigend
reconfortante,beruhigend
tranquilizador,beruhigend
tranquilizante,beruhigend
pacificar,beruhigen
tranquilizar,beruhigen
calmante,Beruhigungsmittel
beriliose,Berylliose
berílio,Beryllium
berilo,Beryll
famigerado,berüchtigt
feiticeiro,berückend
considerar,berücksichtigen
observar,berücksichtigen
considerado,berücksichtigt
consideração,Berücksichtigung
afamado,berühmt
célebre,berühmt
eminente,berühmt
famoso,berühmt
celebridade,Berühmtheit
fama,Berühmtheit
glória,Berühmtheit
renome,Berühmtheit
reputação,Berühmtheit
ilustre,berühmt
renomado,berühmt
notabilizar-se,berühmt werden
comover,berühren
tocar,berühren
toque,Berührung
ababalhar,besabbern
tripulante,Besatzungsmitglied
guarnição,Besatzung
tripulação,Besatzung
angariar,beschaffen
facilitar,beschaffen
qualidade,Beschaffenheit
estado,Beschaffenheit
procurar,beschaffen
proporcionar,beschaffen
angariamento,Beschaffung
angariação,Beschaffung
aquisição,Beschaffung
compra,Beschaffung
obtenção,Beschaffung
sossegado,beschaulich
despretensioso,bescheiden
modéstia,Bescheidenheit
humilde,bescheiden
modesto,bescheiden
aviso,Bescheid
resposta,Bescheid
informação,Bescheid
recado,Bescheid
certificar,bescheinigen
certificado,Bescheinigung
levar,bescheißen
enganar,bescheißen
apanhado,bescheuert
doido,bescheuert
idiota,bescheuert
maluco,bescheuert
tolo,bescheuert
revestimento,Beschichten
revestimento,Beschichtung
afrontar,beschimpfen
injuriar,beschimpfen
insultar,beschimpfen
ofender,beschimpfen
abuso,Beschimpfung
afronta,Beschimpfung
insulto,Beschimpfung
horroroso,beschissen
mal,beschissen
miserável,beschissen
péssimo,beschissen
batota,Beschiss
burla,Beschiss
fraude,Beschiss
peta,Beschiss
confiscação,Beschlagnahme
confisco,Beschlagnahme
confiscado,beschlagnahmt
apreensão,Beschlagnahmung
confisco,Beschlagnahmung
acelerar,beschleunigen
apressar,beschleunigen
aceleração,Beschleunigen
catalisador,Beschleuniger
aceleradamente,beschleunigt
acelerado,beschleunigt
rapidamente,beschleunigt
rápido,beschleunigt
aceleração,Beschleunigung
acabar,beschließen
concluir,beschließen
decidir,beschließen
deliberar,beschließen
determinar,beschließen
finalizar,beschließen
resolver,beschließen
decidido,beschlossen
conclusão,Beschluss
decisão,Beschluss
determinação,Beschluss
fim,Beschluss
ordem,Beschluss
resolução,Beschluss
encardido,beschmutzt
sujidade,Beschmutzung
circuncidar,beschneiden
desbastar,beschneiden
podar,beschneiden
aparar,beschneiden
cortar,beschneiden
circuncisão,Beschneidung
corte,Beschneidung
poda,Beschneidung
redução,Beschneidung
descritivo,beschreibend
descrever,beschreiben
retratar,beschreiben
descrição,Beschreibung
legendar,beschriften
rotular,beschriften
restringir,beschränken
limitado,beschränkt
limite,Beschränkung
acusar,beschuldigen
culpar,beschuldigen
incriminar,beschuldigen
acusação,Beschuldigung
imputação,Beschuldigung
ataque,Beschuss
sofrimento,Beschwerden
denúncia,Beschwerde
desconforto,Beschwerde
dificuldade,Beschwerde
incómodo,Beschwerde
incômodo,Beschwerde
queixa,Beschwerde
reclamação,Beschwerde
difícil,beschwerlich
oneroso,beschwerlich
problemático,beschwerlich
árduo,beschwerlich
acalmar,beschwichtigen
tonto,beschwipst
implorar,beschwören
jurar,beschwören
suplicar,beschwören
encantamento,Beschwörungsformel
feitiço,Beschwörungsformel
conjuração,Beschwörung
encantamento,Beschwörung
invocação,Beschwörung
magia,Beschwörung
danificar,beschädigen
danificado,beschädigt
injuriado,beschädigt
dano,Beschädigung
injúria,Beschädigung
empregar,beschäftigen
empregado,beschäftigt
ocupado,beschäftigt
atarefado,beschäftigt
emprego,Beschäftigung
ocupação,Beschäftigung
trabalho,Beschäftigung
humilhar,beschämen
vergonha,Beschämung
abrigar,beschützen
acoitar,beschützen
guardar,beschützen
patrocinar,beschützen
salvaguardar,beschützen
animar,beseelen
inspirar,beseelen
afastar,beseitigen
desviar,beseitigen
remover,beseitigen
tirar,beseitigen
resolver,beseitigen
eliminar,beseitigen
abolição,Beseitigung
eliminação,Beseitigung
remoção,Beseitigung
solução,Beseitigung
sorgo,Besenkorn
espanador,Besen
vassoura,Besen
tarado,Besessener
obsessão,Besessenheit
obsessivo,besessen
tarado,besessen
endemoniado,besessen
apassamanar,besetzen
designar,besetzen
enfeitar,besetzen
guarnecer,besetzen
ocupar,besetzen
ocupado,besetzt
elenco,Besetzung
ocupação,Besetzung
visitar,besichtigen
colonizar,besiedeln
povoar,besiedeln
bater,besiegen
derrotar,besiegen
expugnar,besiegen
superar,besiegen
triunfar,besiegen
vencer,besiegen
refletir,besinnen
contemplativo,besinnlich
pensativo,besinnlich
haver,besitzen
possuir,besitzen
ter,besitzen
deter,besitzen
dona,Besitzerin
amo,Besitzer
dono,Besitzer
patrão,Besitzer
possuidor,Besitzer
proprietário,Besitzer
rancho,Besitzung
fazenda,Besitz
granja,Besitz
possessão,Besitz
posse,Besitz
propriedade,Besitz
quinta,Besitz
bêbado,besoffen
chapado,besoffen
embriagado,besoffen
ébrio,besoffen
especial,besondere
particular,besonderer
característica,Besonderheit
particularidade,Besonderheit
peculiaridade,Besonderheit
destacadamente,besonders
especialmente,besonders
excepcionalmente,besonders
extraordinariamente,besonders
marcadamente,besonders
notadamente,besonders
notavelmente,besonders
particularmente,besonders
sobretudo,besonders
ponderado,besonnen
refletido,besonnen
sensato,besonnen
arranjar,besorgen
providenciar,besorgen
alarmante,besorgniserregend
inquietante,besorgniserregend
preocupante,Besorgnis erregend
preocupante,besorgniserregend
preocupar,Besorgnis erregen
apreensão,Besorgnis
cabreiro,besorgt
preocupado,besorgt
apreensivo,besorgt
cabreiro,besorgt
preocupado,besorgt
preocupar,besorgt sein
aquisição,Besorgung
compra,Besorgung
realização,Besorgung
execução,Besorgung
espiar,bespitzeln
vigiar,bespitzeln
debater,besprechen
criticar,besprechen
crítica,Besprechung
regar,besprengen
acasalar,bespringen
Bessarábia,Bessarabien
melhor,besser
preferível,besser
superior,besser
melhoramento,Besserung
sabichão,besserwisserisch
espertalhão,Besserwisser
sabichão,Besserwisser
sabe-tudo,Besserwisser
aprovado,bestanden
inventário,Bestandsaufnahme
componente,Bestandteil
ingrediente,Bestandteil
acervo,Bestand
estoque,Bestand
existência,Bestand
plantel,Bestand
duração,Bestand
continuidade,Bestand
enterrar,bestatten
sepultar,bestatten
funerário,Bestatter
enterro,Bestattung
funeral,Bestattung
maravilhar-se,bestaunen
cativar,bestechen
comprar,bestechen
corromper,bestechen
sedutor,bestechend
fascinar,bestechen
persuadir,bestechen
subornar,bestechen
corrupto,bestechlich
corruptibilidade,Bestechlichkeit
corrupção,Bestechlichkeit
propina,Bestechungsgeld
suborno,Bestechungsgeld
corrupção,Bestechung
suborno,Bestechung
talher,Besteck
talher,Besteck
insistir,bestehen
vigente,bestehend
persistir,bestehen
subsistir,bestehen
passar,bestehen
pedir,bestellen
encomendar,bestellen
cultura,Bestellen
encomenda,Bestellung
pedido,Bestellung
recado,Bestellung
reserva,Bestellung
maioral,Bester
tributação,Besteuerung
bestial,bestialisch
besta,Bestie
crucial,bestimmend
decisivo,bestimmend
determinante,bestimmend
determinar,bestimmen
marcar,bestimmen
designar,bestimmen
certamente,bestimmt
certo,bestimmt
claro,bestimmt
decididamente,bestimmt
decidido,bestimmt
decisivo,bestimmt
definido,bestimmt
destinado,bestimmt
determinado,bestimmt
distinto,bestimmt
firme,bestimmt
fixo,bestimmt
assertividade,Bestimmtheit
determinação,Bestimmtheit
precisão,Bestimmtheit
marcado,bestimmt
nomeado,bestimmt
particular,bestimmt
previsto,bestimmt
seguro,bestimmt
terminante,bestimmt
destino,Bestimmungsort
determinante,Bestimmungswort
disposição,Bestimmung
exigência,Bestimmung
função,Bestimmung
qualificação,Bestimmung
requisito,Bestimmung
cláusula,Bestimmung
definição,Bestimmung
determinação,Bestimmung
destino,Bestimmung
finalidade,Bestimmung
castigar,bestrafen
penalizar,bestrafen
punir,bestrafen
sancionar,bestrafen
sentenciar,bestrafen
castigo,Bestrafung
penalidade,Bestrafung
pena,Bestrafung
punição,Bestrafung
radioterapia,Bestrahlung
esforço,Bestreben
ânsia,Bestreben
contestar,bestreiten
discutir,bestreiten
impugnar,bestreiten
negar,bestreiten
questionar,bestreiten
coerente,beständig
constante,beständig
estável,beständig
permanente,beständig
asserir,bestätigen
endossar,bestätigen
autenticar,bestätigen
confirmar,bestätigen
confirmação,Bestätigung
corroboração,Bestätigung
endosso,Bestätigung
ratificação,Bestätigung
reconhecimento,Bestätigung
aprovação,Bestätigung
validação,Bestätigung
certificado,Bestätigung
polinizar,bestäuben
consternar,bestürzen
consternado,bestürzt
perplexidade,Bestürzung
frequentar,besuchen
visitar,besuchen
receber,Besucher empfangen
visitante,Besucherin
visitante,Besucher
público,Besucher
visita,Besuch
acalmar,besänftigen
apaziguar,besänftigen
aplacar,besänftigen
pacificar,besänftigen
betabloqueador,Betablocker
idoso,betagt
abastecer,betanken
orvalhar,betauen
beta,Beta
participar,beteiligen
participante,beteiligt
implicação,Beteiligung
colaboração,Beteiligung
participação,Beteiligung
orar,beten
rezar,beten
oração,Beten
afirmar,beteuern
asseverar,beteuern
jurar,beteuern
reiterar,beteuern
Belém,Bethlehem
Belém,Betlehem
acentuar,betonen
enfatizar,betonen
frisar,betonen
realçar,betonen
ressaltar,betonen
betoneira,Betonmischer
entonação,Betonung
acentuação,Betonung
betão,Beton
concreto,Beton
apreciar,betrachten
contemplar,betrachten
mirar,betrachten
observar,betrachten
olhar,betrachten
contemplador,Betrachter
observador,Betrachter
considerado,betrachtet
abordagem,Betrachtungsweise
perspectiva,Betrachtungsweise
consideração,Betrachtung
contemplação,Betrachtung
observação,Betrachtung
atitude,Betragen
comportamento,Betragen
conduta,Betragen
postura,Betragen
quantia,Betrag
verba,Betrag
concernente,betreffend
respeitante,betreffend
tocante,betreffend
assunto,Betreff
acionar,betreiben
executar,betreiben
exercer,betreiben
exercitar,betreiben
explorar,betreiben
operar,betreiben
praticar,betreiben
realizar,betreiben
tocar,betreiben
apressar,betreiben
intensificar,betreiben
praticar,betreiben
acionamento,Betreiben
operador,Betreiber
acessar,betreten
entrar,betreten
pisar,betreten
acesso,Betreten
entrada,Betreten
tratar,betreuen
baby-sitter,Betreuerin
consultor,Betreuer
monitor,Betreuer
baby-sitter,Betreuer
guia,Betreuer
orientador,Betreuer
acompanhamento,Betreuung
tratamento,Betreuung
supervisão,Betreuung
próprio,betriebseigen
gestão,Betriebsführung
direção,Betriebsleitung
gerência,Betriebsleitung
avaria,Betriebsstörung
multiplataforma,betriebssystemübergreifend
economicamente,betriebswirtschaftlich
econômico,betriebswirtschaftlich
financeiramente,betriebswirtschaftlich
financeiro,betriebswirtschaftlich
funcionamento,Betrieb
fábrica,Betrieb
empresa,Betrieb
afetado,betroffen
consternação,Betroffenheit
burla,Betrug
dolo,Betrug
embuste,Betrug
estelionato,Betrug
fraude,Betrug
impostura,Betrug
logro,Betrug
mistificação,Betrug
trapaça,Betrug
engano,Betrug
vigarice,Betrug
bêbado,betrunken
bêbedo,betrunken
embriagado,betrunken
ébrio,betrunken
considerável,beträchtlich
importante,beträchtlich
notável,beträchtlich
significativo,beträchtlich
burlar,betrügen
comer,betrügen
defraudar,betrügen
enganar,betrügen
iludir,betrügen
lograr,betrügen
ludibriar,betrügen
tapear,betrügen
trair,betrügen
trapacear,betrügen
fraude,Betrügerei
vigarista,Betrügerin
doloso,betrügerisch
enganador,betrügerisch
fraudulento,betrügerisch
defraudador,Betrüger
vigarista,Betrüger
edredom,Bettbezug
coberta,Bettdecke
cobertor,Bettdecke
indigente,bettelarm
paupérrimo,bettelarm
mendicidade,Bettelei
mendicância,Bettelei
implorar,betteln
mendigar,betteln
pedir,betteln
pedir,betteln
